dataset_name,collector,gesture,gesture_group,input_type,trial_index,attempt_index,segment_index,duration_s,capture_duration_s,sensors_enabled,mmwave_frame_count,mmwave_mean_frame_rate_hz,imu_line_count,uwb_sample_count,uwb_ok_sample_count,rfid_line_count,npz_path,session_dir,started_at,finished_at
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,1,1,0,3.0,3.0113640000000004,"mmwave,imu,uwb",31,10.29433837955159,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_001/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_001,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.011490000000002,"mmwave,imu,uwb",31,10.293907666968837,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_002/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_002,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,3,1,0,3.0,3.011344000000001,"mmwave,imu,uwb",30,9.962329112847947,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_003/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_003,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,4,1,0,3.0,3.0013170000000002,"mmwave,imu,uwb",31,10.32879899057647,300,150,150,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_004/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_004,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,5,1,0,3.0,3.005114000000006,"mmwave,imu,uwb",30,9.982982342766345,300,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_005/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_005,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,6,1,0,3.0,3.0172939999999926,"mmwave,imu,uwb",30,9.942683742452699,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_006/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_006,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,7,1,0,3.0,3.0116680000000002,"mmwave,imu,uwb",30,9.961257349747713,302,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_007/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_007,,
combined_all,andrew,pull,discrete,cosmos_multi_sensor_gesture,8,1,0,3.0,3.0078299999999984,"mmwave,imu,uwb",30,9.973967943667034,301,150,150,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_008/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_008,,
combined_all,andrew,push,discrete,cosmos_multi_sensor_gesture,1,1,0,3.0,3.008375000000001,"mmwave,imu,uwb",30,9.972161050400961,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_001/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_001,,
combined_all,andrew,push,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.015008999999992,"mmwave,imu,uwb",31,10.281893022541585,301,151,151,0,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_002/trial_data.npz,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_002,,
