gesture,collector,source_dataset,session_dir,mmwave_frame_count,mmwave_energy_mean,mmwave_energy_std,mmwave_energy_min,mmwave_energy_max,mmwave_energy_first,mmwave_energy_last,mmwave_energy_delta,mmwave_point_count_mean,mmwave_point_count_std,mmwave_velocity_abs_mean,mmwave_velocity_std,mmwave_velocity_abs_max,imu_line_count,imu_record_count,imu_ax_mean,imu_ax_std,imu_ax_min,imu_ax_max,imu_ay_mean,imu_ay_std,imu_ay_min,imu_ay_max,imu_az_mean,imu_az_std,imu_az_min,imu_az_max,imu_gx_mean,imu_gx_std,imu_gx_min,imu_gx_max,imu_gy_mean,imu_gy_std,imu_gy_min,imu_gy_max,imu_gz_mean,imu_gz_std,imu_gz_min,imu_gz_max,imu_accel_mag_mean,imu_accel_mag_std,uwb_count,uwb_mean_cm,uwb_std_cm,uwb_min_cm,uwb_max_cm,uwb_median_cm,uwb_range_cm,uwb_q25_cm,uwb_q75_cm,uwb_iqr_cm,uwb_first_cm,uwb_last_cm,uwb_delta_cm,uwb_abs_delta_cm,uwb_mean_abs_step_cm,uwb_max_abs_step_cm,uwb_slope_cm_per_sample
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_001,31.0,351524.77419354836,75887.38415858649,247161.0,502541.0,289205.0,268104.0,-21101.0,4.290322580645161,2.6663197831963648,0.0,0.0,0.0,301.0,301.0,0.7762923588039867,0.10763908212825296,0.491,0.977,-0.051455149501661135,0.07103786132133387,-0.235,0.11,-0.6048471760797343,0.12783184253975427,-0.837,-0.352,6.635764119601329,11.859787634974161,-24.11,46.88,6.476112956810631,10.63659666177957,-20.57,33.6,-3.599468438538205,9.121462098467982,-28.14,13.4,1.001534193988798,0.031942966990619964,151.0,63.65562913907285,7.0114633352493,52.0,81.0,61.0,29.0,59.0,69.0,10.0,69.0,56.0,-13.0,13.0,2.2866666666666666,12.0,-0.1390833042872084
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_002,31.0,368806.87096774194,88111.27451995992,250288.0,582923.0,357612.0,274545.0,-83067.0,3.903225806451613,2.519022323271566,0.0,0.0,0.0,301.0,301.0,0.7546594684385383,0.12568831545894316,0.412,0.913,0.05791362126245847,0.0752645826175555,-0.134,0.224,-0.6223222591362126,0.1410751283186099,-0.916,-0.324,3.8642026578073088,8.475077104214744,-22.95,34.7,8.20186046511628,11.455756689224971,-20.51,45.41,-5.4044850498338874,7.878370205418777,-26.8,9.98,1.0003851898923795,0.027273957572562735,151.0,66.15894039735099,6.316742531011574,54.0,79.0,64.0,25.0,61.0,72.0,11.0,73.0,65.0,-8.0,8.0,2.0933333333333333,8.0,-0.11692227256883994
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_003,30.0,310015.3333333333,65661.0492120117,251060.0,450271.0,325587.0,447754.0,122167.0,2.2,2.7616420236277306,0.0,0.0,0.0,301.0,301.0,0.6076976744186046,0.04133953037953273,0.375,0.711,0.020470099667774085,0.048515768950591134,-0.095,0.182,-0.7879883720930233,0.03623558067221008,-1.018,-0.699,1.0495681063122924,7.6192160459055085,-27.95,22.83,1.2368770764119603,9.792605431873492,-40.22,35.83,-5.100099667774085,8.614476052812785,-37.05,8.64,0.9977693077475821,0.02175604422757416,151.0,72.50993377483444,2.8719738849065095,67.0,78.0,72.0,11.0,70.0,75.0,5.0,69.0,68.0,-1.0,1.0,2.566666666666667,9.0,0.0026368072499125704
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_004,31.0,374217.06451612903,62451.633114282915,291875.0,561114.0,316961.0,304866.0,-12095.0,4.225806451612903,2.660459303292292,0.0,0.0,0.0,300.0,300.0,0.7488866666666667,0.09619449302786978,0.526,0.877,0.09352333333333335,0.0847597596915126,-0.138,0.274,-0.6297216666666666,0.12669071421218125,-0.873,-0.37,3.794,9.957567574463152,-25.91,43.58,7.347116666666667,10.367569536928873,-15.81,30.88,-6.3061,9.443565385880875,-32.56,19.07,0.9986778618816883,0.035466793838707315,150.0,68.21,4.532607439580697,61.0,79.0,68.0,18.0,64.0,72.0,8.0,77.0,65.0,-12.0,12.0,1.8389261744966443,8.0,-0.07290368460820515
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_005,30.0,368015.0333333333,77713.45984511878,267243.0,597126.0,306580.0,293542.0,-13038.0,3.6333333333333333,3.114303917232371,0.0,0.0,0.0,300.0,300.0,0.7120016666666666,0.05281514142638348,0.589,0.862,0.20285833333333333,0.11532412083871363,-0.005,0.426,-0.6503399999999999,0.09112850893513368,-0.949,-0.453,2.3104666666666662,13.427167029902058,-36.07,42.51,4.891166666666666,9.559040797706757,-15.26,34.12,-7.966566666666666,9.669932465063491,-40.77,6.9,0.9972726936836916,0.029675982268735367,151.0,72.66556291390728,4.369867219304127,61.0,86.0,73.0,25.0,69.0,76.0,7.0,76.0,68.0,-8.0,8.0,2.7466666666666666,11.0,-0.016052631578947953
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_006,30.0,396570.1,67292.9896697271,296209.0,537532.0,381824.0,296209.0,-85615.0,5.033333333333333,2.8575436226863724,0.0,0.0,0.0,301.0,301.0,0.69571926910299,0.06999899211992028,0.403,0.868,0.23977408637873754,0.10670959345405057,-0.029,0.44,-0.6520398671096346,0.10908413260462164,-1.044,-0.47,1.9702657807308972,9.90860775137237,-32.35,28.23,6.666910299003322,10.971739903053633,-62.78,32.23,-7.661528239202657,9.663646831798754,-32.41,14.98,0.9966952238589982,0.03817953844671902,151.0,73.23509933774834,3.6004254647337532,65.0,82.0,73.0,17.0,70.0,77.0,7.0,76.0,78.0,2.0,2.0,1.8,6.0,-0.01763971186243803
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_007,30.0,367081.63333333336,53885.65069569903,300868.0,504581.0,304546.0,340592.0,36046.0,4.666666666666667,2.2852182001336816,0.0,0.0,0.0,302.0,302.0,0.7925562913907284,0.0679879533853248,0.624,0.913,0.21578973509933774,0.05023879724810747,0.025,0.341,-0.5551456953642384,0.09792498988557355,-0.776,-0.363,3.4132781456953643,6.551914803943322,-22.43,17.61,6.600480132450331,7.676085111156027,-14.83,28.75,-2.6795364238410597,8.855986700946925,-35.04,21.42,0.999430401985664,0.02778311832816341,151.0,70.52649006622516,4.958759280125825,56.0,80.0,71.0,24.0,67.0,75.0,8.0,77.0,77.0,0.0,0.0,2.546666666666667,13.0,-0.026775880097595246
pull,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_pull_008,30.0,368045.98333333334,54097.294396683,276164.0,533903.0,309213.0,331222.0,22009.0,5.166666666666667,2.29613201323927,0.0,0.0,0.0,301.0,301.0,0.6979119601328904,0.10831592798672926,0.464,0.923,0.13698837209302328,0.07037633080717891,0.001,0.348,-0.6746046511627908,0.13642015363294793,-0.925,-0.377,2.9108305647840536,8.487441238594862,-14.16,31.5,9.7978073089701,11.008045223559598,-31.4,30.58,-6.204700996677741,8.001577019208023,-17.49,16.97,0.9977056876611288,0.02858917408878834,150.0,66.83,4.1590969270169875,55.0,75.0,67.0,20.0,65.0,69.0,4.0,74.0,57.0,-17.0,17.0,1.9798657718120805,9.0,-0.07339615094004193
push,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_001,30.0,386193.4,116622.26236318119,263553.0,653057.0,280788.0,274341.0,-6447.0,3.8,3.249615361854384,0.0,0.0,0.0,301.0,301.0,0.6981827242524917,0.11809553188717455,0.483,1.032,0.20447840531561462,0.05795029115227172,0.009,0.354,-0.6590415282392027,0.1571240273705467,-0.873,-0.229,-6.868803986710964,15.777502477041065,-54.99,25.48,-9.067441860465115,14.916232738321117,-54.72,13.31,3.625182724252492,9.417920980653909,-24.78,48.65,1.0022005794027857,0.03454012372763016,151.0,71.08940397350993,5.850095752126693,58.0,81.0,74.0,23.0,65.0,76.0,11.0,63.0,75.0,12.0,12.0,1.84,10.0,0.1107650749390031
push,andrew,combined_all,/Users/tylerchen/Cosmos-Gesture-Recognition-/processed/session_andrew_discrete/sessions/andrew_push_002,31.0,466790.27419354836,203002.6426561598,283974.0,1067421.0,299951.0,295366.0,-4585.0,5.0,3.292219567012406,0.0,0.0,0.0,301.0,301.0,0.7192292358803987,0.11029432191740307,0.537,0.934,0.21330730897009967,0.06302132276189298,-0.001,0.457,-0.6295016611295681,0.15535181110366075,-0.904,-0.299,-6.096644518272425,10.248934522203278,-46.14,14.01,-10.210332225913621,12.203063278455867,-46.82,12.36,5.525813953488372,9.394327638492294,-19.96,27.71,0.999002221348175,0.036446051837354054,151.0,70.18543046357615,6.286391623721761,59.0,79.0,73.0,20.0,63.5,76.0,12.5,62.0,75.0,13.0,13.0,1.5666666666666667,8.0,0.12461310561171125
