gesture,collector,source_dataset,session_dir,mmwave_frame_count,mmwave_energy_mean,mmwave_energy_std,mmwave_energy_min,mmwave_energy_max,mmwave_energy_first,mmwave_energy_last,mmwave_energy_delta,mmwave_point_count_mean,mmwave_point_count_std,mmwave_velocity_abs_mean,mmwave_velocity_std,mmwave_velocity_abs_max,imu_line_count,imu_record_count,imu_ax_mean,imu_ax_std,imu_ax_min,imu_ax_max,imu_ay_mean,imu_ay_std,imu_ay_min,imu_ay_max,imu_az_mean,imu_az_std,imu_az_min,imu_az_max,imu_gx_mean,imu_gx_std,imu_gx_min,imu_gx_max,imu_gy_mean,imu_gy_std,imu_gy_min,imu_gy_max,imu_gz_mean,imu_gz_std,imu_gz_min,imu_gz_max,imu_accel_mag_mean,imu_accel_mag_std,uwb_count,uwb_mean_cm,uwb_std_cm,uwb_min_cm,uwb_max_cm,uwb_median_cm,uwb_range_cm,uwb_q25_cm,uwb_q75_cm,uwb_iqr_cm,uwb_first_cm,uwb_last_cm,uwb_delta_cm,uwb_abs_delta_cm,uwb_mean_abs_step_cm,uwb_max_abs_step_cm,uwb_slope_cm_per_sample
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_001,30.0,413499.93333333335,89457.54574431133,299576.0,587214.0,319362.0,335701.0,16339.0,5.633333333333334,2.6643740144523425,0.0,0.0,0.0,300.0,300.0,0.7740433333333333,0.11571024784156136,0.486,1.082,-0.0039633333333333335,0.10948565502181351,-0.218,0.3,-0.6016766666666666,0.13765984208265758,-0.906,-0.188,-0.8770666666666663,19.113951154297972,-51.12,55.73,7.414066666666668,17.854504271907288,-49.99,65.46,-2.465366666666667,21.560877089431116,-36.32,69.31,1.0014021292892266,0.05189969930872692,149.0,71.1744966442953,6.409169469768949,51.0,88.0,73.0,37.0,69.0,75.0,6.0,77.0,67.0,-10.0,10.0,3.2027027027027026,20.0,-0.07400326500997632
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_002,30.0,450456.1666666667,95822.59316329782,308116.0,656496.0,380948.0,402813.0,21865.0,6.633333333333334,2.258071940591993,0.0,0.0,0.0,300.0,300.0,0.8538399999999999,0.1285985785302466,0.511,1.154,0.09021000000000001,0.14151842954187982,-0.288,0.473,-0.4566233333333333,0.18854483495680513,-0.894,0.028,-4.8754333333333335,24.18592458736187,-85.85,55.36,8.763633333333333,14.557506006600931,-25.42,51.0,-1.5886333333333331,21.90059213352207,-42.73,62.35,1.0049333589807672,0.08893040729112864,150.0,77.14666666666666,6.406149171193207,59.0,92.0,79.0,33.0,71.25,82.0,10.75,79.0,69.0,-10.0,10.0,3.6778523489932886,29.0,-0.09597937686119365
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_003,30.0,412050.6666666667,68946.1301854974,319737.0,565771.0,391684.0,381716.0,-9968.0,5.433333333333334,1.7829438827088442,0.0,0.0,0.0,301.0,301.0,0.7155847176079734,0.1514349206151966,0.412,1.182,0.12635880398671098,0.13150063159619219,-0.167,0.396,-0.6670265780730897,0.16725181233344522,-0.991,-0.321,-9.329900332225911,23.295035723493474,-78.07,51.15,4.8672093023255805,19.82520805953958,-69.73,37.97,-3.206345514950166,19.928194586280497,-60.03,49.44,1.0140884905270935,0.11302718556242031,150.0,69.73333333333333,5.048312451995755,55.0,86.0,70.0,31.0,67.0,72.0,5.0,75.0,84.0,9.0,9.0,2.785234899328859,30.0,-0.011054713542823832
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_004,31.0,418902.12903225806,71001.79708209206,322954.0,599811.0,322954.0,356314.0,33360.0,5.806451612903226,1.941388841720139,0.0,0.0,0.0,302.0,302.0,0.7536357615894039,0.11981680185131356,0.447,1.047,0.0004403973509933775,0.0825345287396687,-0.23,0.202,-0.6430430463576159,0.11625813993288163,-0.953,-0.256,-3.759966887417218,16.98182884515257,-59.91,34.91,5.123278145695364,16.495085627234168,-48.34,42.85,0.6618543046357612,20.673324043925074,-32.84,71.35,1.0047249995416587,0.08174998105182628,151.0,70.11258278145695,4.170600350641166,61.0,82.0,69.0,21.0,68.0,72.0,4.0,75.0,72.0,-3.0,3.0,2.953333333333333,11.0,-0.01729871035203952
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_005,31.0,429396.6451612903,62652.59709188407,331760.0,574582.0,351062.0,361899.0,10837.0,6.709677419354839,1.7633097249956708,0.0,0.0,0.0,302.0,302.0,0.7448940397350994,0.1254351975022253,0.519,1.089,0.02882781456953643,0.12351484676768654,-0.304,0.337,-0.6367880794701987,0.14355475726955955,-0.9,-0.122,-8.762549668874172,19.732524243887614,-82.43,30.46,7.3907284768211925,14.154612525982909,-45.63,49.04,2.7082450331125822,19.402514991095714,-52.13,73.09,1.005129682661355,0.05009418123244313,151.0,71.25827814569537,5.65740055285575,58.0,84.0,71.0,26.0,67.0,76.0,9.0,77.0,66.0,-11.0,11.0,2.033333333333333,10.0,-0.11664342976646978
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_006,30.0,404885.86666666664,74573.83604756356,334779.0,637032.0,432095.0,486599.0,54504.0,5.1,1.598957994028194,0.0,0.0,0.0,300.0,300.0,0.6586166666666667,0.09665472771100692,0.452,0.889,0.07482,0.08462454884173189,-0.137,0.435,-0.7293933333333332,0.09914184428831696,-0.894,-0.48,-0.2768666666666665,12.05252829004032,-39.8,29.3,5.6447666666666665,9.643317839081918,-24.63,25.06,-6.028766666666667,9.844595004987367,-31.74,22.31,0.9979046560966848,0.04367418009789978,150.0,73.60666666666667,5.156473310532804,64.0,99.0,73.0,35.0,69.0,76.75,7.75,99.0,78.0,-21.0,21.0,2.3288590604026846,9.0,-0.09237921685408199
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_007,30.0,374440.93333333335,58274.55440638068,288226.0,507450.0,368419.0,329066.0,-39353.0,5.166666666666667,2.266911751455907,0.0,0.0,0.0,300.0,300.0,0.68884,0.1295410658182699,0.295,1.038,0.02922,0.1104348296507945,-0.283,0.443,-0.7002066666666668,0.12864948745417612,-0.935,-0.306,0.4920333333333332,16.860190435823146,-56.34,47.61,4.983066666666667,12.760339673988135,-19.9,29.24,-1.2207333333333341,19.266327295627004,-24.93,76.42,1.004069536076575,0.054913811768732376,150.0,69.4,6.7862870021218376,47.0,83.0,69.0,36.0,66.0,75.0,9.0,61.0,68.0,7.0,7.0,2.0067114093959733,11.0,-0.10497177652340084
pull,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_008,30.0,385128.4666666667,60938.48635125607,305948.0,576331.0,320948.0,360914.0,39966.0,4.6,2.1228911104120876,0.0,0.0,0.0,301.0,301.0,0.6543189368770764,0.1031784150026439,0.466,0.938,0.05140863787375415,0.09064931401487385,-0.142,0.294,-0.7347906976744186,0.10675649651434911,-0.902,-0.398,-1.2254152823920266,14.540576822437329,-47.49,38.73,7.8543189368770765,12.338772047189241,-24.66,47.73,-1.6371760797342192,17.245649699379655,-34.27,46.57,0.9998209324502155,0.03621635858373814,150.0,69.04666666666667,5.726819826429393,57.0,80.0,69.0,23.0,64.0,73.0,9.0,77.0,57.0,-20.0,20.0,2.61744966442953,10.0,-0.11226632294768635
push,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_001,31.0,410082.32258064515,88350.09677318652,310475.0,676378.0,342530.0,367158.0,24628.0,5.290322580645161,2.2887318419440983,0.0,0.0,0.0,302.0,302.0,0.6651655629139073,0.11212557591536376,0.352,0.943,0.016205298013245037,0.09196171949635217,-0.243,0.323,-0.7229470198675497,0.13109514708964842,-1.052,-0.34,-0.8313245033112584,15.324085127688956,-71.87,42.36,-3.1617218543046355,23.83869892782829,-90.43,65.25,0.6618543046357616,19.399582329905954,-38.97,51.3,1.0005242523759132,0.05026422117967118,151.0,70.28476821192054,5.121689152930842,56.0,85.0,70.0,29.0,67.0,74.0,7.0,85.0,71.0,-14.0,14.0,2.4266666666666667,23.0,0.06697455559428363
push,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_002,30.0,409661.4666666667,90804.90825050275,299453.0,581518.0,344122.0,299453.0,-44669.0,5.3,2.59679289380831,0.0,0.0,0.0,302.0,302.0,0.6435761589403973,0.13831490307170924,0.447,0.928,0.031056291390728488,0.07824786654828872,-0.157,0.244,-0.7367615894039735,0.1325911511340904,-0.93,-0.466,1.4747019867549669,12.646315004353395,-52.43,34.67,-5.690827814569537,15.37542596115335,-41.84,27.56,0.7225827814569541,15.310640219313706,-28.47,42.05,0.9988713591697818,0.05534046831173569,151.0,75.29139072847683,5.462098990892921,61.0,87.0,76.0,26.0,71.0,80.0,9.0,69.0,77.0,8.0,8.0,2.1866666666666665,9.0,0.07636110142906896
push,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_003,31.0,412079.48387096776,65846.18703677531,290414.0,557683.0,433401.0,307938.0,-125463.0,5.645161290322581,2.222297374148366,0.0,0.0,0.0,301.0,301.0,0.6495016611295681,0.15914394379849642,0.315,1.087,0.06170764119601328,0.08665224867681355,-0.147,0.362,-0.7404617940199336,0.14942341909772572,-1.062,-0.261,-1.451063122923588,13.63343608928676,-33.97,50.81,-6.434983388704319,11.372369605681529,-42.02,22.83,1.1696345514950168,16.098624552769472,-47.0,54.51,1.0098064903252244,0.09694084028755444,151.0,73.73509933774834,9.180197519120501,51.0,93.0,77.0,42.0,68.0,80.5,12.5,61.0,90.0,29.0,29.0,3.7933333333333334,27.0,0.13604391774137314
push,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_004,30.0,420405.9,88893.6185547459,299771.0,639891.0,347777.0,302018.0,-45759.0,5.133333333333334,2.526306042866189,0.0,0.0,0.0,300.0,300.0,0.71158,0.08736423906076597,0.527,0.92,0.06709333333333332,0.07620226126711872,-0.115,0.27,-0.6839566666666667,0.09536205458962992,-0.936,-0.445,1.7971333333333328,10.378356217736131,-38.21,28.2,-3.102066666666666,15.199339976751915,-49.23,41.32,1.1038,12.333397864876222,-21.03,32.59,0.9989066113113195,0.057992515711396464,150.0,73.77333333333333,6.736803323213463,48.0,88.0,75.0,40.0,70.0,78.0,8.0,61.0,82.0,21.0,21.0,3.6711409395973154,29.0,0.028043913062802822
push,student1,ian_discrete,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_005,31.0,410877.1612903226,70766.55296846457,301914.0,640062.0,301914.0,380541.0,78627.0,5.838709677419355,1.743129817562103,0.0,0.0,0.0,301.0,301.0,0.7870299003322259,0.0733690152244575,0.487,0.922,0.05502990033222591,0.08739064796542768,-0.189,0.266,-0.5950299003322259,0.10391954354797418,-0.892,-0.38,2.793189368770764,11.96733238081807,-25.57,34.42,-4.181229235880399,18.483232523979424,-44.89,46.39,0.9916279069767446,11.48008466264717,-30.12,30.3,0.9992378486711209,0.04298915326056696,151.0,70.27152317880795,6.2385188144136015,53.0,88.0,69.0,35.0,67.0,72.0,5.0,68.0,84.0,16.0,16.0,2.493333333333333,9.0,0.10937608922969645
