dataset_name,collector,gesture,gesture_group,input_type,trial_index,attempt_index,segment_index,duration_s,capture_duration_s,sensors_enabled,mmwave_frame_count,mmwave_mean_frame_rate_hz,imu_line_count,uwb_sample_count,uwb_ok_sample_count,rfid_line_count,npz_path,session_dir,started_at,finished_at
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,1,2,0,3.0,3.0037260000000003,"mmwave,imu,uwb,rfid",30,9.98759540650512,300,150,149,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_001/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_001,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.004434,"mmwave,imu,uwb,rfid",30,9.985241812600977,300,150,150,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_002/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_002,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,3,1,0,3.0,3.009532,"mmwave,imu,uwb,rfid",30,9.968327301387724,301,150,150,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_003/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_003,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,4,1,0,3.0,3.0176770000000026,"mmwave,imu,uwb,rfid",31,10.272802556403477,302,151,151,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_004/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_004,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,5,1,0,3.0,3.021388999999999,"mmwave,imu,uwb,rfid",31,10.26018165817113,302,151,151,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_005/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_005,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,6,2,0,3.0,3.001526999999996,"mmwave,imu,uwb,rfid",30,9.994912589491962,300,150,150,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_006/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_006,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,7,1,0,3.0,3.0065349999999995,"mmwave,imu,uwb,rfid",30,9.978264014887571,300,150,150,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_007/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_007,,
combined,ian,pull,discrete,cosmos_multi_sensor_gesture,8,1,0,3.0,3.0135819999999995,"mmwave,imu,uwb,rfid",30,9.954930710363946,301,150,150,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_008/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_pull_008,,
combined,ian,push,discrete,cosmos_multi_sensor_gesture,1,1,0,3.0,3.0212100000000106,"mmwave,imu,uwb,rfid",31,10.260789551206269,302,151,151,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_001/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_001,,
combined,ian,push,discrete,cosmos_multi_sensor_gesture,2,1,0,3.0,3.020144000000002,"mmwave,imu,uwb,rfid",30,9.933301193585464,302,151,151,0,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_002/trial_data.npz,/Users/ianba/Desktop/COSMOS/final project/Cosmos-Gesture-Recognition-/data/processed/ian_discrete/sessions/student1_push_002,,
